reads,sketch_id,shared_hashes,mlst,meca,pvl,scc,clindamycin,rifampicin,ciprofloxacin,vancomycin,tetracycline,mupirocin,gentamicin,trimethoprim,penicillin,methicillin,erythromycin,fusidicacid,pubmlst_id,resolution
1000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,1k
2000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,1k
3000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,1k
5000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,1k
6000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,1k
7000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,1k
8000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,1k
1000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,1k
2000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,1k
3000,-,-,ST5,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,34208,1k
4000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,R,R,S,S,S,S,S,R,R,R,S,34208,1k
5000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,34208,1k
6000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,34208,1k
8000,-,-,ST5,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,34208,1k
1000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,1k
2000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,1k
3000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,1k
4000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,1k
5000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,1k
6000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,1k
7000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,1k
8000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,1k
1000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,1k
2000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,1k
3000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,1k
4000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,1k
5000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,1k
6000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,1k
7000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,1k
8000,-,-,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,1k
1000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,1k
2000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,1k
3000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,1k
4000,-,-,ST121,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,34290,1k
5000,-,-,ST121,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,34290,1k
6000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,1k
7000,-,-,ST121,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,34290,1k
8000,-,-,ST121,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,34290,1k
1000,-,-,ST45,MRSA,PVL-,-,S,S,S,S,S,S,S,S,R,R,S,S,35605,1k
2000,-,-,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,35605,1k
3000,-,-,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,1k
4000,-,-,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,1k
5000,-,-,ST45,MRSA,PVL-,Vc,S,S,R,S,S,S,S,S,R,R,S,S,35605,1k
6000,-,-,ST22,MRSA,PVL-,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,35605,1k
7000,-,-,ST22,MRSA,PVL-,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,35605,1k
8000,-,-,ST22,MRSA,PVL-,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,35605,1k
1000,-,-,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35607,1k
2000,-,-,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35607,1k
3000,-,-,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35607,1k
4000,-,-,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35607,1k
5000,-,-,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35607,1k
6000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,35607,1k
7000,-,-,ST45,MRSA,PVL-,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,35607,1k
8000,-,-,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35607,1k
1000,-,-,ST8,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,R,S,35868,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35868,1k
3000,-,-,ST8,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,35868,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35868,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35868,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35868,1k
7000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35868,1k
8000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35868,1k
1000,-,-,ST1,MSSA,PVL*,-,R,S,S,S,R,S,S,S,R,S,R,S,35870,1k
2000,-,-,ST1,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,R,35870,1k
3000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35870,1k
4000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35870,1k
5000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35870,1k
6000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,35870,1k
7000,-,-,ST1,MSSA,PVL-,-,R,S,S,S,S,S,S,S,R,S,R,S,35870,1k
8000,-,-,ST239,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,35870,1k
1000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,R,R,R,R,S,35871,1k
2000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,R,R,R,R,S,35871,1k
3000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,35871,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35871,1k
5000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,35871,1k
6000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,35871,1k
7000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35871,1k
8000,-,-,ST36,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35871,1k
1000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36588,1k
2000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,36588,1k
3000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,36588,1k
4000,-,-,ST121,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,36588,1k
5000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36588,1k
